アセンブリ名	名前空間名	型名	スタティックメソッド名	スタティックメソッドの戻り値の型名	スタティックメソッドの仮引数の個数	スタティックメソッドの仮引数の位置番号	スタティックメソッドの仮引数の変数名	スタティックメソッドの仮引数の型名
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	get_DefaultSettings	System.Func`1[[Newtonsoft.Json.JsonSerializerSettings, Newtonsoft.Json, Version=12.0.0.0, Culture=neutral, PublicKeyToken=30ad4fe6b2a6aeed]]	0	ないよーん	ないよーん	ないよーん
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	set_DefaultSettings	System.Void	1	0	value	Func`1
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	DateTime
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	3	0,1,2	value,format,timeZoneHandling	DateTime,DateFormatHandling,DateTimeZoneHandling
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	DateTimeOffset
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	2	0,1	value,format	DateTimeOffset,DateFormatHandling
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Boolean
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Char
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Enum
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Int32
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Int16
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	UInt16
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	UInt32
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Int64
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	UInt64
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Single
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Double
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Byte
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	SByte
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Decimal
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Guid
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	TimeSpan
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Uri
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	String
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	2	0,1	value,delimiter	String,Char
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	3	0,1,2	value,delimiter,stringEscapeHandling	String,Char,StringEscapeHandling
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	ToString	System.String	1	0	value	Object
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	1	0	value	Object
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	2	0,1	value,formatting	Object,Formatting
