アセンブリ名	名前空間名	型名	スタティックメソッド名	スタティックメソッドの戻り値の型名	スタティックメソッドの仮引数の個数	スタティックメソッドの仮引数の位置番号	スタティックメソッドの仮引数の変数名	スタティックメソッドの仮引数の型名
System.Private.CoreLib	System	System.DateTime	TryParse	System.Boolean	2	0,1	s,result	String,DateTime&
System.Private.CoreLib	System	System.DateTime	TryParse	System.Boolean	2	0,1	s,result	ReadOnlySpan`1,DateTime&
System.Private.CoreLib	System	System.DateTime	TryParse	System.Boolean	4	0,1,2,3	s,provider,styles,result	String,IFormatProvider,DateTimeStyles,DateTime&
System.Private.CoreLib	System	System.DateTime	TryParse	System.Boolean	4	0,1,2,3	s,provider,styles,result	ReadOnlySpan`1,IFormatProvider,DateTimeStyles,DateTime&
System.Private.CoreLib	System	System.DateTime	TryParseExact	System.Boolean	5	0,1,2,3,4	s,format,provider,style,result	String,String,IFormatProvider,DateTimeStyles,DateTime&
System.Private.CoreLib	System	System.DateTime	TryParseExact	System.Boolean	5	0,1,2,3,4	s,format,provider,style,result	ReadOnlySpan`1,ReadOnlySpan`1,IFormatProvider,DateTimeStyles,DateTime&
System.Private.CoreLib	System	System.DateTime	TryParseExact	System.Boolean	5	0,1,2,3,4	s,formats,provider,style,result	String,String[],IFormatProvider,DateTimeStyles,DateTime&
System.Private.CoreLib	System	System.DateTime	TryParseExact	System.Boolean	5	0,1,2,3,4	s,formats,provider,style,result	ReadOnlySpan`1,String[],IFormatProvider,DateTimeStyles,DateTime&
System.Private.CoreLib	System	System.DateTime	op_Addition	System.DateTime	2	0,1	d,t	DateTime,TimeSpan
System.Private.CoreLib	System	System.DateTime	op_Subtraction	System.DateTime	2	0,1	d,t	DateTime,TimeSpan
System.Private.CoreLib	System	System.DateTime	op_Subtraction	System.TimeSpan	2	0,1	d1,d2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	op_Equality	System.Boolean	2	0,1	d1,d2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	op_Inequality	System.Boolean	2	0,1	d1,d2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	op_LessThan	System.Boolean	2	0,1	t1,t2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	op_LessThanOrEqual	System.Boolean	2	0,1	t1,t2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	op_GreaterThan	System.Boolean	2	0,1	t1,t2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	op_GreaterThanOrEqual	System.Boolean	2	0,1	t1,t2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	get_UtcNow	System.DateTime	0	ないよーん	ないよーん	ないよーん
System.Private.CoreLib	System	System.DateTime	Compare	System.Int32	2	0,1	t1,t2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	DaysInMonth	System.Int32	2	0,1	year,month	Int32,Int32
System.Private.CoreLib	System	System.DateTime	Equals	System.Boolean	2	0,1	t1,t2	DateTime,DateTime
System.Private.CoreLib	System	System.DateTime	FromBinary	System.DateTime	1	0	dateData	Int64
System.Private.CoreLib	System	System.DateTime	FromFileTime	System.DateTime	1	0	fileTime	Int64
System.Private.CoreLib	System	System.DateTime	FromFileTimeUtc	System.DateTime	1	0	fileTime	Int64
System.Private.CoreLib	System	System.DateTime	FromOADate	System.DateTime	1	0	d	Double
System.Private.CoreLib	System	System.DateTime	SpecifyKind	System.DateTime	2	0,1	value,kind	DateTime,DateTimeKind
System.Private.CoreLib	System	System.DateTime	get_Now	System.DateTime	0	ないよーん	ないよーん	ないよーん
System.Private.CoreLib	System	System.DateTime	get_Today	System.DateTime	0	ないよーん	ないよーん	ないよーん
System.Private.CoreLib	System	System.DateTime	IsLeapYear	System.Boolean	1	0	year	Int32
System.Private.CoreLib	System	System.DateTime	Parse	System.DateTime	1	0	s	String
System.Private.CoreLib	System	System.DateTime	Parse	System.DateTime	2	0,1	s,provider	String,IFormatProvider
System.Private.CoreLib	System	System.DateTime	Parse	System.DateTime	3	0,1,2	s,provider,styles	String,IFormatProvider,DateTimeStyles
System.Private.CoreLib	System	System.DateTime	Parse	System.DateTime	3	0,1,2	s,provider,styles	ReadOnlySpan`1,IFormatProvider,DateTimeStyles
System.Private.CoreLib	System	System.DateTime	ParseExact	System.DateTime	3	0,1,2	s,format,provider	String,String,IFormatProvider
System.Private.CoreLib	System	System.DateTime	ParseExact	System.DateTime	4	0,1,2,3	s,format,provider,style	String,String,IFormatProvider,DateTimeStyles
System.Private.CoreLib	System	System.DateTime	ParseExact	System.DateTime	4	0,1,2,3	s,format,provider,style	ReadOnlySpan`1,ReadOnlySpan`1,IFormatProvider,DateTimeStyles
System.Private.CoreLib	System	System.DateTime	ParseExact	System.DateTime	4	0,1,2,3	s,formats,provider,style	String,String[],IFormatProvider,DateTimeStyles
System.Private.CoreLib	System	System.DateTime	ParseExact	System.DateTime	4	0,1,2,3	s,formats,provider,style	ReadOnlySpan`1,String[],IFormatProvider,DateTimeStyles
